date,geography,geography code,Type of central heating in household: Total: All households,Type of central heating in household: No central heating,Type of central heating in household: Mains gas only,Type of central heating in household: Tank or bottled gas only,Type of central heating in household: Electric only,Type of central heating in household: Oil only,Type of central heating in household: Wood only,Type of central heating in household: Solid fuel only,Type of central heating in household: Renewable energy only,Type of central heating in household: District or communal heat networks only,Type of central heating in household: Other central heating only,Type of central heating in household: Two or more types of central heating (not including renewable energy),Type of central heating in household: Two or more types of central heating (including renewable energy)
2021,Maldon,E07000074,27900,350,15295,675,2556,5514,45,75,322,44,113,2638,273
2021,Rochford,E07000075,35556,301,28842,614,2098,348,32,20,43,196,138,2642,282
2021,Tendring,E07000076,67450,943,48781,888,6699,3188,91,52,368,194,398,5427,421
2021,Uttlesford,E07000077,36957,316,22733,559,2559,6027,83,43,445,107,145,3450,490
2021,Cheltenham,E07000078,52899,697,41964,116,5327,118,20,12,75,216,270,3835,249
2021,Cotswold,E07000079,40596,405,22467,1145,3970,6470,199,105,569,99,197,4626,344
2021,Forest of Dean,E07000080,37216,457,19177,1513,2520,7049,238,523,503,49,156,4617,414
2021,Gloucester,E07000081,55409,855,43629,259,5080,104,24,24,45,206,421,4552,210
2021,Stroud,E07000082,52376,581,36742,642,3795,3377,199,89,508,118,215,5518,592
2021,Tewkesbury,E07000083,40930,466,30699,884,2575,1956,81,43,179,61,160,3531,295
2021,Basingstoke and Deane,E07000084,76647,705,55687,815,6149,4860,88,87,446,209,497,6624,480
2021,East Hampshire,E07000085,52718,498,37922,847,3798,3065,79,38,429,163,209,4922,748
2021,Eastleigh,E07000086,56927,582,46704,292,3831,214,30,16,113,267,257,4071,550
2021,Fareham,E07000087,48640,527,40232,167,3126,198,23,15,67,97,184,3710,294
2021,Gosport,E07000088,35922,655,27331,160,4513,17,13,8,31,102,216,2726,150
2021,Hart,E07000089,39964,241,32022,393,2539,727,53,11,137,232,154,3130,325
2021,Havant,E07000090,53589,872,43279,264,3760,82,15,21,59,118,357,4508,254
2021,New Forest,E07000091,77565,877,58542,1161,5097,2837,196,80,300,225,265,7313,672
2021,Rushmoor,E07000092,39305,503,30326,206,4309,21,4,4,38,194,299,3250,151
2021,Test Valley,E07000093,54708,485,35638,1252,4622,6327,116,79,483,114,233,4932,427
2021,Winchester,E07000094,51715,467,35535,1303,3986,3921,157,89,488,99,193,4784,693
2021,Broxbourne,E07000095,39852,586,30608,193,4641,80,11,9,26,152,360,3104,82
2021,Dacorum,E07000096,63408,642,49976,418,5208,901,34,39,221,310,382,4932,345
2021,Hertsmere,E07000098,42682,443,34094,272,3749,174,11,9,64,298,341,3099,128
2021,North Hertfordshire,E07000099,56734,581,41765,651,5736,2327,47,36,317,260,261,4412,341
2021,Three Rivers,E07000102,36858,347,29989,174,2723,215,14,18,57,172,224,2676,249
2021,Watford,E07000103,39634,695,29248,217,5526,26,4,4,26,426,455,2896,111
2021,Ashford,E07000105,53583,624,35805,1363,3916,4975,121,112,330,168,391,5318,460
2021,Canterbury,E07000106,63792,789,48793,826,5339,1187,86,57,173,240,371,5521,410
2021,Dartford,E07000107,45696,623,36405,305,3830,159,9,8,73,176,398,3503,207
2021,Dover,E07000108,50548,676,38832,708,3182,1442,83,92,135,309,302,4545,242
2021,Gravesham,E07000109,41724,627,32858,389,2960,676,18,31,60,109,408,3372,216
2021,Maidstone,E07000110,71208,848,52985,1139,5854,2780,89,64,286,120,449,6068,526
2021,Sevenoaks,E07000111,49011,485,35439,984,3421,3268,77,60,274,187,216,4240,360
2021,Folkestone and Hythe,E07000112,48337,738,35238,707,4027,2303,75,71,147,189,302,4238,302
2021,Swale,E07000113,60494,941,47471,863,3617,1263,102,57,163,121,406,5162,328
2021,Thanet,E07000114,62203,960,49133,432,5951,172,22,22,48,195,430,4621,217
2021,Tonbridge and Malling,E07000115,53575,549,42140,556,3409,1550,52,42,203,221,221,4358,274
2021,Tunbridge Wells,E07000116,48225,628,32875,655,5077,3612,99,34,255,135,210,4320,325
2021,Burnley,E07000117,39872,686,32630,152,1746,166,18,66,29,74,437,3752,116
2021,Chorley,E07000118,50128,603,40767,275,2256,613,55,118,161,174,229,4410,467
2021,Fylde,E07000119,37607,454,29372,393,3672,439,31,34,75,59,148,2807,123
2021,Hyndburn,E07000120,34792,659,28788,167,1270,94,24,55,28,174,351,3101,81
2021,Lancaster,E07000121,59976,1133,45764,697,4487,1463,142,78,136,157,338,5337,244
2021,Pendle,E07000122,38067,852,30546,309,1218,582,42,82,78,66,476,3663,153
2021,Preston,E07000123,59609,1039,46090,338,4803,688,112,45,197,282,643,4967,405
